incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
 Bridge Fire,TRUE,2018-01-09T13:46:00Z,2017-10-31T11:22:00Z, Shasta-Trinity National Forest ,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37, Shasta-Trinity National Forest ,-122.309,40.774,2018-01-09T13:46:00Z,1/9/18,10/31/17,N,FALSE,FALSE
Pala Fire,TRUE,2020-09-16T14:07:35Z,2009-05-24T14:56:00Z,CAL FIRE San Diego Unit,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122,CAL FIRE San Diego Unit,1,1,2009-05-25T00:00:00Z,5/25/09,5/24/09,N,TRUE,FALSE
River Fire,FALSE,2013-02-28T20:00:00Z,2013-02-24T08:16:00Z,CAL FIRE San Bernardino Unit,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",406,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651,36.602575,2013-02-28T20:00:00Z,2/28/13,2/24/13,N,TRUE,FALSE
Fawnskin Fire,TRUE,2013-04-22T09:00:00Z,2013-04-20T17:30:00Z,San Bernardino National Forest,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30,San Bernardino National Forest,-116.941311,34.288877,2013-04-22T09:00:00Z,4/22/13,4/20/13,N,FALSE,FALSE
Gold Fire,TRUE,2013-05-01T07:00:00Z,2013-04-30T12:59:00Z,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,2013-05-01T07:00:00Z,5/1/13,4/30/13,N,TRUE,FALSE
Gold Fire,TRUE,2013-05-01T07:00:00Z,2013-04-30T12:59:00Z,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,2013-05-01T07:00:00Z,5/1/13,4/30/13,N,TRUE,FALSE
Gold Fire,TRUE,2013-05-01T07:00:00Z,2013-04-30T12:59:00Z,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,2013-05-01T07:00:00Z,5/1/13,4/30/13,N,TRUE,FALSE
Panther Fire,TRUE,2013-05-09T09:00:00Z,2013-05-01T09:12:00Z,CAL FIRE Butte Unit,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",6965,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,2013-05-09T09:00:00Z,5/9/13,5/1/13,N,TRUE,FALSE
Silverado Fire,TRUE,2013-05-01T17:15:00Z,2013-04-30T23:44:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Napa,"7300 block of Silverado Trail, north of Napa",75,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,2013-05-01T17:15:00Z,5/1/13,4/30/13,N,TRUE,FALSE
Yellow Fire,TRUE,2013-05-03T06:15:00Z,2013-05-01T02:01:00Z,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,2013-05-03T06:15:00Z,5/3/13,5/1/13,N,TRUE,FALSE
