incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Shasta,37.0, Shasta-Trinity National Forest ,2017-10-31,2018-01-09,70.0
San Diego,122.0,CAL FIRE San Diego Unit,2009-05-24,2009-05-25,1.0
Inyo,406.0,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",2013-02-24,2013-02-28,4.0
San Bernardino,30.0,San Bernardino National Forest,2013-04-20,2013-04-22,2.0
Madera,274.0,CAL FIRE Madera-Mariposa-Merced Unit,2013-04-30,2013-05-01,1.0
Madera,274.0,CAL FIRE Madera-Mariposa-Merced Unit,2013-04-30,2013-05-01,1.0
Madera,274.0,CAL FIRE Madera-Mariposa-Merced Unit,2013-04-30,2013-05-01,1.0
Tehama,6965.0,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",2013-05-01,2013-05-09,8.0
Napa,75.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-04-30,2013-05-01,1.0
Sonoma,125.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-05-01,2013-05-03,2.0
Riverside,3166.0,CAL FIRE/Riverside County Fire ,2013-05-01,2013-05-04,3.0
San Benito,354.0,CAL FIRE San Benito-Monterey ,2013-05-03,2013-05-03,0.0
Glenn,217.0,CAL FIRE Tehama-Glenn Unit,2013-05-01,2013-05-05,4.0
San Bernardino,75.0,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",2013-05-13,2013-05-15,2.0
Riverside,510.0,CAL FIRE/Riverside County Fire,2013-05-04,2013-05-05,1.0
"Kern, Ventura",4346.0,"CAL FIRE / USFS Los Padres National Forest, CAL FIRE, USFS, KERN CO FD, VENTURA CO FD, KERN COUNTY SO, VENTURA CO SO, LA CO SO, LAFD, CALEMA, BLM, KERN CO RD DEPT., CHP, CALIFORNIA STATE PARKS",2013-05-15,2013-05-21,6.0
Riverside,40.0,CAL FIRE Riverside Unit,2013-05-16,2013-05-17,1.0
Los Angeles,712.0,CAL FIRE/Los Angeles County ,2013-05-17,2013-05-18,1.0
Madera,91.0,CAL FIRE Madera-Mariposa-Merced Unit,2013-05-19,2013-05-20,1.0
San Luis Obispo,35.0,CAL FIRE San Luis Obispo Unit,2013-05-20,2013-05-20,0.0
Riverside,25.0,CAL FIRE Riverside Unit,2013-05-20,2013-05-20,0.0
Riverside,90.0,CAL FIRE/Riverside County Fire ,2013-05-21,2013-05-21,0.0
San Joaquin,303.0,CAL FIRE Tuolumne-Calaveras Unit ,2013-05-30,2013-05-30,0.0
San Diego,100.0,CAL FIRE San Diego Unit,2013-05-22,2013-05-23,1.0
San Diego,2781.0,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",2013-05-23,2013-05-26,3.0
San Luis Obispo,50.0,CAL FIRE San Luis Obispo Unit,2013-05-25,2013-05-25,0.0
Riverside,124.0,CAL FIRE/Riverside County Fire,2013-05-25,2013-05-25,0.0
San Diego,1271.0,CAL FIRE San Diego Unit,2013-05-26,2013-05-31,5.0
Santa Barbara,1984.0,USFS Los Padres National Forest,2013-05-27,2013-05-30,3.0
Los Angeles,149.0,Los Angeles County Fire Department,2013-05-28,2013-05-29,1.0
Santa Barbara,170.0,Santa Barbara County Fire,2013-05-28,2013-05-29,1.0
San Luis Obispo,500.0,Los Padres National Forest,2013-06-01,2013-06-03,2.0
Tuolumne,100.0,CAL FIRE Tuolumne-Calaveras Unit,2013-06-02,2013-06-02,0.0
Butte,298.0,"CAL FIRE Butte Unit, CAL FIRE, El Medio Fire, Chico Fire Dept, Oroville Fire Dept, Butte Co. Sheriff's Dept, Butte Co. Public Works, PG&E and CHP",2013-06-03,2013-06-03,0.0
Riverside,0.0,USFS San Bernardino National Forest,2013-06-09,2013-06-09,0.0
"Sonoma, Solano, Lake, Colusa",28.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-06-10,2013-06-14,4.0
Merced,124.0,CAL FIRE Madera-Mariposa-Merced Unit,2013-06-04,2013-06-05,1.0
Lake,30.0,CAL FIRE Sonoma-Lake-Napa Unit,2013-06-05,2013-06-06,1.0
Los Angeles,30274.0,USFS Angeles National Forest/Los Angeles County/CAL FIRE,2013-05-30,2013-06-08,9.0
Alameda,240.0,CAL FIRE Santa Clara Unit,2013-06-08,2013-06-08,0.0
Riverside,42.0,CAL FIRE/Riverside County Fire,2013-06-08,2013-06-08,0.0
,60.0,California Northern Region,2013-06-10,2013-06-14,4.0
Amador,96.0,CAL FIRE Amador-El Dorado Unit,2013-06-12,2013-06-13,1.0
Madera,75.0,CAL FIRE Madera-Mariposa-Merced Unit,2013-06-12,2013-06-14,2.0
Fresno,108.0,CAL FIRE/Fresno County Fire,2013-06-13,2013-06-13,0.0
Mariposa,1708.0,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest , CAL FIRE, US Forest Service, California Highway Patrol, National Park Service, Mariposa County, Mariposa County Fire, Mariposa County Sheriff.",2013-06-16,2013-06-26,10.0
Placer,237.0,CAL FIRE/Placer County Fire,2013-06-13,2013-06-13,0.0
Fresno,35.0,CAL FIRE/Fresno County Fire,2013-06-13,2013-06-13,0.0
Riverside,40.0,CAL FIRE/Riverside County Fire,2013-06-14,2013-06-15,1.0
Madera,482.0,CAL FIRE Madera-Mariposa-Merced Unit,2013-06-16,2013-06-18,2.0
Solano,124.0,CAL FIRE Sanoma-Lake-Napa Unit,2013-06-18,2013-06-18,0.0
Fresno,46.0,CAL FIRE/Fresno County Fire,2013-06-17,2013-06-19,2.0
Fresno,150.0,CAL FIRE/Fresno County Fire,2013-06-25,2013-06-25,0.0
Lake,25.0,CAL FIRE Sanoma-Lake-Napa Unit,2013-06-20,2013-06-20,0.0
San Bernardino,534.0,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,2013-06-28,2013-07-01,3.0
Contra Costa,274.0,CAL FIRE Santa Clara Unit,2013-07-01,2013-07-01,0.0
Monterey,105.0,CAL FIRE San Benito-Monterey Unit ,2013-06-29,2013-06-29,0.0
Contra Costa,492.0,CAL FIRE Santa Clara Unit,2013-07-01,2013-07-01,0.0
,754.0,CAL FIRE Northern Region,2013-07-02,2013-07-04,2.0
Modoc,502.0,CAL FIRE Lassen-Modoc Unit,2013-07-03,2013-07-05,2.0
Tehama,200.0,CAL FIRE Tehama-Glenn Unit,2013-07-04,2013-07-04,0.0
Alameda,50.0,CAL FIRE Santa Clara Unit,2013-07-04,2013-07-04,0.0
Alameda,38.0,CAL FIRE Santa Clara Unit / Alameda County Fire,2013-07-06,2013-07-06,0.0
San Diego,7055.0,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",2013-07-06,2013-07-15,9.0
San Luis Obispo,85.0,CAL FIRE San Luis Obispo,2013-07-07,2013-07-07,0.0
Yuba,73.0,CAL FIRE Nevada-Placer-Yuba Unit,2013-07-08,2013-07-08,0.0
Shasta,43.0,CAL FIRE Shasta-Trinity Unit,2013-07-09,2013-07-09,0.0
El Dorado,572.0,Eldorado National Forest,2013-07-08,2013-07-11,3.0
Santa Clara,50.0,CAL FIRE Santa Clara Unit,2013-07-12,2013-07-12,0.0
Stanislaus,150.0,CAL FIRE Santa Clara Unit,2013-07-12,2013-07-13,1.0
Riverside,27531.0,CAL FIRE Riverside Unit / San Bernardino National Forest,2013-07-15,2013-07-30,15.0
